City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
138,Quatre Cocos,MU,1/4/2020 21:17,-20.21,57.76,78.01,94,75,15.75,light intensity shower rain,0,0
139,Hithadhoo,MV,1/4/2020 21:16,-0.6,73.08,83.03,68,99,4.38,overcast clouds,0,0
140,Tiarei,PF,1/4/2020 21:21,-17.53,-149.33,86,70,40,11.41,scattered clouds,0,0
141,Fortuna,US,1/4/2020 21:21,40.6,-124.16,54,76,40,9.17,scattered clouds,0,0
142,Tiksi,RU,1/4/2020 21:21,71.64,128.87,-16.85,86,77,7.58,broken clouds,0,0
143,Arieseni,RO,1/4/2020 21:21,46.48,22.77,23.97,92,100,7.25,light snow,0,0
144,Kurilsk,RU,1/4/2020 21:21,45.23,147.88,18.07,82,100,15.5,light snow,0,0
145,Chokurdakh,RU,1/4/2020 21:17,70.62,147.9,-14.71,98,73,0.81,broken clouds,0,0
146,Orje,NO,1/4/2020 21:21,59.48,11.66,35.6,47,12,6.93,few clouds,0,0
147,Ancud,CL,1/4/2020 21:21,-41.87,-73.83,60.8,59,0,8.05,clear sky,0,0
148,Stabat,ID,1/4/2020 21:21,3.76,98.46,75.2,100,40,3.36,mist,0,0
149,Maxixe,MZ,1/4/2020 21:21,-23.86,35.35,78.93,80,20,13.56,few clouds,0,0
150,Castro,CL,1/4/2020 21:21,-42.48,-73.76,60.8,59,0,8.05,clear sky,0,0
151,San Quintin,PH,1/4/2020 21:21,17.54,120.52,68.83,79,65,4.88,broken clouds,0,0
152,Sola,TZ,1/4/2020 21:21,-3.17,33.8,65.82,81,1,5.57,clear sky,0,0
153,Cuiluan,CN,1/4/2020 21:21,47.72,128.65,-8.23,99,67,5.77,broken clouds,0,0
154,Tangermunde,DE,1/4/2020 21:21,52.54,11.98,37,84,0,1.01,clear sky,0,0
155,Taltal,CL,1/4/2020 21:21,-25.41,-70.49,64.49,71,0,5.93,clear sky,0,0
156,Ratnagiri,IN,1/4/2020 21:21,16.98,73.3,61.45,92,0,1.23,clear sky,0,0
157,Acapulco,MX,1/4/2020 21:18,16.86,-99.88,86,66,40,5.82,scattered clouds,0,0
158,Cheremukhovo,RU,1/4/2020 21:21,56.23,46.23,28.27,91,100,13.69,overcast clouds,0,0
159,Siuna,NI,1/4/2020 21:21,13.73,-84.78,86.38,49,9,5.53,clear sky,0,0
160,Bilibino,RU,1/4/2020 21:21,68.06,166.44,-4.83,48,0,1.52,clear sky,0,0
161,Vanimo,PG,1/4/2020 21:21,-2.67,141.3,82.44,81,100,14.07,light rain,2.94,0
162,Saint Anthony,US,1/4/2020 21:21,43.97,-111.68,35.6,63,90,17.22,overcast clouds,0,0
163,Suksun,RU,1/4/2020 21:21,57.15,57.4,27.16,92,100,11.25,light snow,0,0
