City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Coihaique,CL,2020-01-04 00:16:40,-45.58,-72.07,59.0,51,20,5.82
235,Ngunguru,NZ,2020-01-04 00:16:40,-35.62,174.5,72.0,49,100,13.0
236,Inzer,RU,2020-01-04 00:16:40,54.22,57.56,14.61,93,100,6.62
237,Kukes,AL,2020-01-04 00:16:41,42.08,20.42,30.99,65,0,4.88
238,Horice,CZ,2020-01-04 00:16:41,50.37,15.63,46.4,75,90,17.22
239,Luis Correia,BR,2020-01-04 00:16:41,-2.88,-41.67,78.39,87,100,5.91
240,Port Lincoln,AU,2020-01-04 00:16:42,-34.72,135.86,61.23,72,100,11.3
241,Alta Floresta,BR,2020-01-04 00:16:42,-9.87,-56.08,72.25,97,69,5.55
242,Manggar,ID,2020-01-04 00:16:42,-2.88,108.27,82.09,82,21,16.37
243,Cabo San Lucas,MX,2020-01-04 00:13:44,22.89,-109.91,73.0,56,5,9.17
244,Chernyshevskiy,RU,2020-01-04 00:16:43,63.01,112.47,-1.16,97,100,2.04
245,Maragogi,BR,2020-01-04 00:16:43,-9.01,-35.22,79.7,80,17,13.69
246,Pecos,US,2020-01-04 00:16:43,31.42,-103.49,53.6,53,1,3.36
247,Kyzyl-Suu,KG,2020-01-04 00:16:43,42.34,78.0,25.97,71,100,10.33
248,Orlik,PL,2020-01-04 00:16:44,53.95,17.74,37.0,93,20,11.41
249,Srednekolymsk,RU,2020-01-04 00:16:44,67.46,153.71,-0.13,74,9,2.84
250,Puerto Ayora,EC,2020-01-04 00:16:44,-0.74,-90.35,80.6,65,20,17.22
251,Severnoye,RU,2020-01-04 00:16:44,54.09,52.54,26.2,95,100,16.91
252,Kapit,MY,2020-01-04 00:16:45,2.02,112.94,73.17,98,100,1.68
253,Santa Rosa,AR,2020-01-04 00:12:22,-36.62,-64.29,82.18,37,0,12.44
254,Neiafu,TO,2020-01-04 00:16:45,-18.65,-173.98,82.4,65,20,8.05
255,Pervomayskoye,RU,2020-01-04 00:16:45,57.07,86.23,21.31,92,98,11.05
256,Evensk,RU,2020-01-04 00:16:45,61.92,159.24,7.02,69,100,11.68
257,Mount Gambier,AU,2020-01-04 00:16:46,-37.83,140.78,60.8,82,90,17.22
258,Mersing,MY,2020-01-04 00:16:46,2.43,103.84,80.2,82,98,19.95
259,Mucurapo,TT,2020-01-04 00:16:46,10.67,-61.53,77.0,83,20,8.93
260,Sechura,PE,2020-01-04 00:16:46,-5.56,-80.82,72.7,83,74,14.12
261,Sinnamary,GF,2020-01-04 00:12:11,5.38,-52.96,79.9,79,99,13.65
262,Aklavik,CA,2020-01-04 00:12:03,68.22,-135.01,-14.8,68,75,8.05
263,Novyy Urengoy,RU,2020-01-04 00:16:47,66.08,76.63,6.71,93,100,15.12
264,Tuatapere,NZ,2020-01-04 00:16:48,-46.13,167.69,52.0,65,100,20.0
265,Udachnyy,RU,2020-01-04 00:16:48,66.42,112.4,-18.4,82,7,2.24
